datacreationdate,aqi,pm2.5_avg,pm10_avg,so2_avg
2019-09-11 23:00:00,73500.0,24500.0,33320.0,1960.0
2019-09-11 22:00:00,70560.0,23520.0,31360.0,1960.0
2019-09-11 21:00:00,78400.0,21560.0,29400.0,1960.0
2019-09-11 20:00:00,98980.0,21560.0,30380.0,1960.0
2019-09-11 19:00:00,115640.0,21560.0,33320.0,1960.0
2019-09-11 18:00:00,123480.0,21560.0,33320.0,980.0
2019-09-10 23:00:00,46060.0,14700.0,23520.0,980.0
2019-09-11 17:00:00,123480.0,20580.0,34300.0,980.0
2019-09-10 22:00:00,48020.0,14700.0,23520.0,980.0
2019-09-11 16:00:00,105840.0,19600.0,35280.0,980.0
2019-09-10 21:00:00,49980.0,15680.0,22540.0,1960.0
2019-09-11 15:00:00,78400.0,18620.0,33320.0,980.0
2019-09-10 20:00:00,50960.0,15680.0,21560.0,1960.0
2019-09-10 19:00:00,54880.0,17640.0,21560.0,1960.0
2019-09-11 14:00:00,57820.0,18620.0,33320.0,980.0
2019-09-10 18:00:00,62720.0,18620.0,19600.0,1960.0
2019-09-11 13:00:00,55860.0,17640.0,31360.0,980.0
2019-09-11 12:00:00,53900.0,16660.0,30380.0,980.0
2019-09-10 17:00:00,60760.0,19600.0,20580.0,1960.0
2019-09-11 11:00:00,49000.0,14700.0,30380.0,980.0
2019-09-10 16:00:00,61740.0,19600.0,21560.0,1960.0
2019-09-11 10:00:00,41160.0,12740.0,31360.0,1960.0
2019-09-10 15:00:00,60760.0,19600.0,22540.0,1960.0
2019-09-11 09:00:00,35280.0,10780.0,31360.0,980.0
2019-09-10 14:00:00,58800.0,18620.0,24500.0,1960.0
2019-09-11 08:00:00,29400.0,8820.0,31360.0,980.0
2019-09-10 13:00:00,53900.0,16660.0,24500.0,1960.0
2019-09-11 07:00:00,27440.0,7840.0,29400.0,980.0
2019-09-11 06:00:00,26460.0,7840.0,28420.0,980.0
2019-09-11 05:00:00,26460.0,7840.0,27440.0,980.0
2019-09-11 04:00:00,31360.0,9800.0,25480.0,980.0
2019-09-11 03:00:00,32340.0,9800.0,25480.0,980.0
2019-09-11 02:00:00,36260.0,11760.0,24500.0,980.0
2019-09-11 01:00:00,38220.0,11760.0,24500.0,980.0
2019-09-11 00:00:00,44100.0,13720.0,24500.0,980.0
2019-09-09 23:00:00,52920.0,16660.0,20580.0,
2019-09-09 22:00:00,55860.0,17640.0,21560.0,
2019-09-09 21:00:00,55860.0,17640.0,24500.0,
2019-09-09 20:00:00,53900.0,16660.0,24500.0,
2019-09-09 19:00:00,,,23520.0,
2019-09-09 18:00:00,,,,
2019-09-09 17:00:00,,,,
2019-09-09 16:00:00,,,,
2019-09-09 15:00:00,,,,
2019-09-09 14:00:00,,,,
2019-09-09 13:00:00,,,,
2019-09-09 12:00:00,,,,
2019-09-09 11:00:00,,,,
2019-09-09 10:00:00,,,,
2019-09-10 12:00:00,46060.0,14700.0,22540.0,1960.0
2019-09-09 09:00:00,,,,
2019-09-09 08:00:00,,,,
2019-09-10 11:00:00,41160.0,12740.0,20580.0,1960.0
2019-09-09 07:00:00,,,,
2019-09-10 10:00:00,37240.0,11760.0,18620.0,1960.0
2019-09-09 06:00:00,,,,
2019-09-10 09:00:00,37240.0,10780.0,17640.0,1960.0
2019-09-10 08:00:00,41160.0,12740.0,17640.0,1960.0
2019-09-09 05:00:00,,,,
2019-09-10 07:00:00,40180.0,12740.0,18620.0,1960.0
2019-09-09 04:00:00,,,,
2019-09-10 06:00:00,41160.0,12740.0,19600.0,1960.0
2019-09-10 05:00:00,43120.0,13720.0,21560.0,
2019-09-10 04:00:00,42140.0,12740.0,21560.0,
2019-09-10 03:00:00,42140.0,12740.0,21560.0,
2019-09-10 02:00:00,40180.0,12740.0,20580.0,
2019-09-10 01:00:00,44100.0,13720.0,18620.0,
2019-09-10 00:00:00,49000.0,14700.0,19600.0,
2019-09-07 23:00:00,,,,
2019-09-08 23:00:00,,,,
2019-09-07 22:00:00,,,,
2019-09-08 22:00:00,,,,
2019-09-07 21:00:00,,,,
2019-09-08 21:00:00,,,,
2019-09-07 20:00:00,,,,
2019-09-08 20:00:00,,,,
2019-09-08 19:00:00,,,,
2019-09-07 19:00:00,,,,
2019-09-08 18:00:00,,,,
2019-09-08 17:00:00,,,,
2019-09-08 16:00:00,,,,
2019-09-08 15:00:00,,,,
2019-09-08 14:00:00,,,,
2019-09-08 13:00:00,,,,
2019-09-08 12:00:00,,,,
2019-09-08 11:00:00,,,,
2019-09-08 10:00:00,,,,
2019-09-08 09:00:00,,,,
2019-09-08 08:00:00,,,,
2019-09-08 07:00:00,,,,
2019-09-08 06:00:00,,,,
2019-09-08 05:00:00,,,,
2019-09-08 04:00:00,,,,
2019-09-08 03:00:00,,,,
2019-09-08 02:00:00,,,,
2019-09-08 01:00:00,,,,
2019-09-08 00:00:00,,,,
2019-09-09 03:00:00,,,,
2019-09-09 02:00:00,,,,
2019-09-09 01:00:00,,,,
2019-09-09 00:00:00,,,,
2019-09-06 23:00:00,,,,
2019-09-06 22:00:00,,,,
2019-09-06 21:00:00,,,,
2019-09-06 20:00:00,,,,
2019-09-06 19:00:00,,,,
2019-09-06 18:00:00,,,,
2019-09-06 17:00:00,,,,
2019-09-07 18:00:00,,,,
2019-09-06 16:00:00,,,,
2019-09-06 15:00:00,26460.0,7840.0,9800.0,
2019-09-07 17:00:00,,,,
2019-09-07 16:00:00,,,,
2019-09-06 14:00:00,25480.0,7840.0,10780.0,0.0
2019-09-07 15:00:00,,,,
2019-09-07 14:00:00,,,,
2019-09-06 13:00:00,,,,
2019-09-06 12:00:00,,,,
2019-09-07 13:00:00,,,,
2019-09-07 12:00:00,,,,
2019-09-06 11:00:00,,,,
2019-09-06 10:00:00,,,,
2019-09-07 11:00:00,,,,
2019-09-06 09:00:00,,,,
2019-09-07 10:00:00,,,,
2019-09-07 09:00:00,,,,
2019-09-07 08:00:00,,,,
2019-09-07 07:00:00,,,,
2019-09-07 06:00:00,,,,
2019-09-07 05:00:00,,,,
2019-09-07 04:00:00,,,,
2019-09-07 03:00:00,,,,
2019-09-07 02:00:00,,,,
2019-09-07 01:00:00,,,,
2019-09-07 00:00:00,,,,
2019-09-05 23:00:00,,,,
2019-09-05 22:00:00,,,,
2019-09-05 21:00:00,,,,
2019-09-05 20:00:00,,,,
2019-09-05 19:00:00,,,,
2019-09-05 18:00:00,,,,
2019-09-05 17:00:00,,,,
2019-09-05 16:00:00,,,,
2019-09-05 15:00:00,,,,
2019-09-05 14:00:00,,,,
2019-09-05 13:00:00,,,,
2019-09-05 07:00:00,,,,
2019-09-05 06:00:00,,,,
2019-09-05 05:00:00,,,,
2019-09-05 04:00:00,,,,
2019-09-05 03:00:00,,,,
2019-09-05 02:00:00,,,,
2019-09-06 08:00:00,,,,
2019-09-05 01:00:00,,,,
2019-09-06 07:00:00,,,,
2019-09-05 00:00:00,,,,
2019-09-06 06:00:00,,,,
2019-09-05 12:00:00,,,,
2019-09-06 05:00:00,,,,
2019-09-05 11:00:00,,,,
2019-09-05 10:00:00,,,,
2019-09-06 04:00:00,,,,
2019-09-06 03:00:00,,,,
2019-09-05 09:00:00,,,,
2019-09-05 08:00:00,,,,
2019-09-06 02:00:00,,,,
2019-09-06 01:00:00,,,,
2019-09-06 00:00:00,,,,
2019-09-03 23:00:00,,,,
2019-09-03 22:00:00,,,,
2019-09-03 21:00:00,,,,
2019-09-04 23:00:00,,,,
2019-09-03 20:00:00,,,,
2019-09-04 22:00:00,,,,
2019-09-03 19:00:00,,,,
2019-09-04 21:00:00,,,,
2019-09-03 18:00:00,,,,
2019-09-04 20:00:00,,,,
2019-09-03 17:00:00,,,,
2019-09-04 19:00:00,,,,
2019-09-04 18:00:00,,,,
2019-09-03 16:00:00,,,,
2019-09-04 17:00:00,,,,
2019-09-03 15:00:00,,,,
2019-09-04 16:00:00,,,,
2019-09-04 15:00:00,,,,
2019-09-03 14:00:00,,,,
2019-09-04 14:00:00,,,,
2019-09-04 13:00:00,,,,
2019-09-04 12:00:00,,,,
2019-09-04 11:00:00,,,,
2019-09-04 10:00:00,,,,
2019-09-04 09:00:00,,,,
2019-09-04 08:00:00,,,,
2019-09-04 07:00:00,,,,
2019-09-04 06:00:00,,,,
2019-09-04 05:00:00,,,,
2019-09-04 04:00:00,,,,
2019-09-04 03:00:00,,,,
