"""sitename""","""siteengname""","""areaname""","""county""","""township""","""siteaddress""","""twd97lon""","""twd97lat""","""sitetype""","""siteid"""
基隆,Keelung,北部空品區,基隆市,信義區,基隆市東信路324號,121.760056,25.129167,一般站,1
汐止,Xizhi,北部空品區,新北市,汐止區,221新北市汐止區北市汐止區樟樹一路137巷26號,121.64081,25.06624,一般站,2
萬里,Wanli,北部空品區,新北市,萬里區,新北市萬里區瑪鋉路221號,121.689881,25.179667,一般站,3
新店,Xindian,北部空品區,新北市,新店區,新北市新店區民族路108號,121.537778,24.977222,一般站,4
土城,Tucheng,北部空品區,新北市,土城區,新北市土城區學府路一段241號,121.451861,24.982528,一般站,5
板橋,Banqiao,北部空品區,新北市,板橋區,新北市板橋區文化路一段25號,121.458667,25.012972,一般站,6
新莊,Xinzhuang,北部空品區,新北市,新莊區,新北市新莊區中正路510號,121.4325,25.037972,一般站,7
菜寮,Cailiao,北部空品區,新北市,三重區,新北市三重區中正北路163號,121.481028,25.06895,一般站,8
林口,Linkou,北部空品區,新北市,林口區,新北市林口區文化路一段425號,121.36548982,25.07798949,一般站,9
淡水,Tamsui,北部空品區,新北市,淡水區,新北市淡水區中正東路42巷6號,121.449239,25.1645,一般站,10
士林,Shilin,北部空品區,臺北市,北投區,臺北市北投區文林北路77號,121.51666356,25.10334003,一般站,11
中山,Zhongshan,北部空品區,臺北市,中山區,臺北市中山區林森北路511號,121.526528,25.062361,一般站,12
萬華,Wanhua,北部空品區,臺北市,萬華區,臺北市萬華區中華路1段66號,121.507972,25.046503,一般站,13
古亭,Guting,北部空品區,臺北市,大安區,臺北市大安區羅斯福路三段153號,121.529556,25.020608,一般站,14
松山,Songshan,北部空品區,臺北市,松山區,臺北市松山區八德路四段746號,121.578611,25.05,一般站,15
大同,Datong,北部空品區,臺北市,大同區,臺北市大同區重慶北路三段2號,121.51342074,25.06331455,交通站,16
桃園,Taoyuan,北部空品區,桃園市,桃園區,桃園市桃園區莒光街15號,121.30500531,24.9947107,一般站,17
大園,Dayuan,北部空品區,桃園市,大園區,桃園市大園區中正東路160號,121.20251473,25.06100357,一般站,18
觀音,Guanyin,北部空品區,桃園市,觀音區,桃園市觀音區文化路2號,121.08283092,25.03556747,背景站,19
平鎮,Pingzhen,北部空品區,桃園市,平鎮區,324桃園市平鎮區復興街55號,121.203986,24.952786,一般站,20
龍潭,Longtan,北部空品區,桃園市,龍潭區,桃園市龍潭區中正路210號,121.21645772,24.86400048,一般站,21
湖口,Hukou,竹苗空品區,新竹縣,湖口鄉,新竹縣湖口鄉成功路360號,121.03886894,24.90009696,一般站,22
竹東,Zhudong,竹苗空品區,新竹縣,竹東鎮,新竹縣竹東鎮莊敬路111號,121.08895493,24.74091408,一般站,23
新竹,Hsinchu,竹苗空品區,新竹市,東區,新竹市民族路33號,120.97236752,24.8056356,一般站,24
頭份,Toufen,竹苗空品區,苗栗縣,頭份市,苗栗縣頭份市文化街20號,120.89869286,24.69690679,工業站,25
苗栗,Miaoli,竹苗空品區,苗栗縣,苗栗市,苗栗市縣府路102號,120.82011468,24.56499183,一般站,26
三義,Sanyi,竹苗空品區,苗栗縣,三義鄉,苗栗縣三義鄉西湖村上湖61-1號,120.75956754,24.38248443,一般站,27
豐原,Fengyuan,中部空品區,臺中市,豐原區,臺中市豐原區水源路150號,120.74252414,24.25699731,一般站,28
沙鹿,Shalu,中部空品區,臺中市,沙鹿區,臺中市沙鹿區英才路150號,120.568794,24.225628,一般站,29
大里,Dali,中部空品區,臺中市,大里區,臺中市大里區大新街36號,120.67844444,24.09961111,一般站,30
忠明,Zhongming,中部空品區,臺中市,南屯區,臺中市南屯區公益路二段296號,120.641092,24.151958,一般站,31
西屯,Xitun,中部空品區,臺中市,西屯區,臺中市西屯區安和路1號,120.616917,24.162197,一般站,32
